Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
"Delayed Medical Care, Last 4 Weeks",By Age,United States,30 - 39 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,40.9,39.4,42.4,39.4 - 42.4,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,40 - 49 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,43.0,41.1,44.9,41.1 - 44.9,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,50 - 59 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,42.8,40.9,44.8,40.9 - 44.8,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,60 - 69 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.2,39.0,43.4,39.0 - 43.4,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,70 - 79 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.2,34.7,39.8,34.7 - 39.8,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,80 years and above,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,33.0,27.4,39.0,27.4 - 39.0,
"Delayed Medical Care, Last 4 Weeks",By Sex,United States,Male,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,35.7,34.4,37.0,34.4 - 37.0,
"Delayed Medical Care, Last 4 Weeks",By Sex,United States,Female,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,44.6,43.4,45.8,43.4 - 45.8,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.4,37.3,41.6,37.3 - 41.6,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,40.9,39.9,41.9,39.9 - 41.9,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.5,35.3,39.7,35.3 - 39.7,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,33.0,29.0,37.1,29.0 - 37.1,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,50.9,46.4,55.3,46.4 - 55.3,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.9,28.4,37.7,28.4 - 37.7,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,High school diploma or GED,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,35.9,33.8,38.0,33.8 - 38.0,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,43.9,42.5,45.2,42.5 - 45.2,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,42.9,42.2,43.7,42.2 - 43.7,
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,Alabama,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,42.9,36.1,49.9,36.1 - 49.9,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,Alaska,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,44.3,39.2,49.5,39.2 - 49.5,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,Arizona,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,42.6,38.6,46.6,38.6 - 46.6,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,Arkansas,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.4,36.3,46.6,36.3 - 46.6,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,California,California,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.4,35.9,42.9,35.9 - 42.9,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,Colorado,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.0,36.4,45.7,36.4 - 45.7,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,Connecticut,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,45.3,39.7,51.0,39.7 - 51.0,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,Delaware,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,45.5,39.7,51.3,39.7 - 51.3,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,46.9,38.2,55.8,38.2 - 55.8,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,Florida,Florida,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.6,37.5,45.9,37.5 - 45.9,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,Georgia,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.3,33.8,40.9,33.8 - 40.9,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,Hawaii,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,30.6,25.3,36.4,25.3 - 36.4,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,Idaho,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.8,32.3,43.6,32.3 - 43.6,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,Illinois,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,45.7,41.2,50.3,41.2 - 50.3,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,Indiana,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,44.2,38.5,49.9,38.5 - 49.9,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,Iowa,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.5,32.8,42.3,32.8 - 42.3,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,Kansas,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,35.2,31.0,39.5,31.0 - 39.5,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,Kentucky,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,43.1,37.9,48.4,37.9 - 48.4,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,Louisiana,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,36.3,32.3,40.4,32.3 - 40.4,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,Maine,Maine,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,44.6,38.9,50.4,38.9 - 50.4,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,Maryland,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.6,32.0,43.4,32.0 - 43.4,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.3,35.4,43.3,35.4 - 43.3,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,Michigan,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,40.8,37.0,44.8,37.0 - 44.8,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,Minnesota,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.7,37.4,46.1,37.4 - 46.1,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,Mississippi,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.6,34.1,45.3,34.1 - 45.3,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,Missouri,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.5,33.1,42.1,33.1 - 42.1,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Montana,Montana,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.0,37.2,44.9,37.2 - 44.9,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,Nebraska,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.8,27.1,36.8,27.1 - 36.8,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,Nevada,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,34.5,29.9,39.4,29.9 - 39.4,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.2,32.5,42.2,32.5 - 42.2,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,New Jersey,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,47.7,42.5,52.9,42.5 - 52.9,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,New Mexico,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.4,37.3,45.5,37.3 - 45.5,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,New York,New York,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,42.5,38.3,46.8,38.3 - 46.8,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,North Carolina,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,33.3,29.4,37.3,29.4 - 37.3,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,North Dakota,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,28.4,23.0,34.2,23.0 - 34.2,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,Ohio,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,44.0,37.9,50.3,37.9 - 50.3,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,35.1,30.6,39.8,30.6 - 39.8,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,Oregon,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,47.0,43.1,50.8,43.1 - 50.8,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.2,34.1,44.4,34.1 - 44.4,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.7,32.0,43.6,32.0 - 43.6,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,South Carolina,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.1,32.7,41.8,32.7 - 41.8,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,South Dakota,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,36.2,29.5,43.3,29.5 - 43.3,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,Tennessee,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.1,35.0,43.3,35.0 - 43.3,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Texas,Texas,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,40.1,37.0,43.1,37.0 - 43.1,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,Utah,Utah,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,34.6,30.7,38.6,30.7 - 38.6,28.4-37.2
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,Vermont,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,44.2,36.8,51.8,36.8 - 51.8,43.0-47.7
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,Virginia,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,38.7,34.1,43.5,34.1 - 43.5,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Washington,Washington,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.5,37.5,45.5,37.5 - 45.5,39.5-42.9
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,West Virginia,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,38.7,32.5,45.2,32.5 - 45.2,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,38.1,33.6,42.7,33.6 - 42.7,37.3-39.4
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,Wyoming,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,34.0,28.3,40.0,28.3 - 40.0,28.4-37.2
"Did Not Get Needed Care, Last 4 Weeks",National Estimate,United States,United States,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.4,31.5,33.3,31.5 - 33.3,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,18 - 29 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,26.5,24.6,28.5,24.6 - 28.5,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,30 - 39 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.0,30.5,33.6,30.5 - 33.6,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,40 - 49 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,35.9,34.1,37.7,34.1 - 37.7,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,50 - 59 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,35.8,33.7,37.8,33.7 - 37.8,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,60 - 69 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,33.5,31.5,35.5,31.5 - 35.5,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,70 - 79 years,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,30.1,27.7,32.6,27.7 - 32.6,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,80 years and above,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,26.5,21.5,32.0,21.5 - 32.0,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,Male,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,28.2,26.9,29.6,26.9 - 29.6,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,Female,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,36.3,35.0,37.6,35.0 - 37.6,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.7,29.7,33.7,29.7 - 33.7,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.1,31.1,33.2,31.1 - 33.2,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,34.9,32.4,37.5,32.4 - 37.5,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,25.0,21.7,28.5,21.7 - 28.5,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.9,37.6,46.2,37.6 - 46.2,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,28.8,24.6,33.3,24.6 - 33.3,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,High school diploma or GED,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.2,29.4,33.0,29.4 - 33.0,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,35.9,34.4,37.3,34.4 - 37.3,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.1,30.2,32.0,30.2 - 32.0,
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,Alabama,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,38.7,32.2,45.6,32.2 - 45.6,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Alaska,Alaska,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,36.7,32.0,41.6,32.0 - 41.6,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Arizona,Arizona,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,30.3,27.3,33.6,27.3 - 33.6,29.8-31.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Arkansas,Arkansas,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,33.9,30.2,37.8,30.2 - 37.8,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,California,California,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.7,29.8,35.6,29.8 - 35.6,32.0-33.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Colorado,Colorado,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,30.8,26.6,35.2,26.6 - 35.2,29.8-31.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Connecticut,Connecticut,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,33.9,28.5,39.6,28.5 - 39.6,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Delaware,Delaware,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,40.1,35.4,45.0,35.4 - 45.0,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.7,25.5,38.5,25.5 - 38.5,29.8-31.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Florida,Florida,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,33.8,29.9,37.9,29.9 - 37.9,32.0-33.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Georgia,Georgia,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.9,28.3,35.6,28.3 - 35.6,29.8-31.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Hawaii,Hawaii,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,24.2,19.5,29.5,19.5 - 29.5,24.0-29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Idaho,Idaho,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.9,27.4,38.8,27.4 - 38.8,32.0-33.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Illinois,Illinois,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,36.8,32.0,41.9,32.0 - 41.9,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Indiana,Indiana,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,36.2,30.6,42.2,30.6 - 42.2,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Iowa,Iowa,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.7,28.4,37.1,28.4 - 37.1,32.0-33.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Kansas,Kansas,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,25.1,20.8,29.8,20.8 - 29.8,24.0-29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Kentucky,Kentucky,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.0,33.7,44.6,33.7 - 44.6,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Louisiana,Louisiana,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.5,28.3,37.0,28.3 - 37.0,32.0-33.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Maine,Maine,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.4,31.2,44.0,31.2 - 44.0,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Maryland,Maryland,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.8,27.0,36.9,27.0 - 36.9,29.8-31.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.0,26.7,35.5,26.7 - 35.5,29.8-31.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Michigan,Michigan,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,36.3,32.5,40.3,32.5 - 40.3,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Minnesota,Minnesota,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.9,28.1,35.8,28.1 - 35.8,29.8-31.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Mississippi,Mississippi,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.9,27.3,38.9,27.3 - 38.9,32.0-33.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Missouri,Missouri,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,29.3,25.5,33.3,25.5 - 33.3,24.0-29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Montana,Montana,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.3,28.1,36.8,28.1 - 36.8,32.0-33.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Nebraska,Nebraska,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,24.0,20.2,28.2,20.2 - 28.2,24.0-29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Nevada,Nevada,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,30.0,25.8,34.5,25.8 - 34.5,29.8-31.9
"Did Not Get Needed Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,29.5,24.9,34.4,24.9 - 34.4,24.0-29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,New Jersey,New Jersey,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.1,33.9,44.5,33.9 - 44.5,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,New Mexico,New Mexico,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.0,27.9,36.4,27.9 - 36.4,32.0-33.8
"Did Not Get Needed Care, Last 4 Weeks",By State,New York,New York,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.0,27.3,34.8,27.3 - 34.8,29.8-31.9
"Did Not Get Needed Care, Last 4 Weeks",By State,North Carolina,North Carolina,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,28.9,24.6,33.4,24.6 - 33.4,24.0-29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,North Dakota,North Dakota,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,24.1,19.2,29.6,19.2 - 29.6,24.0-29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Ohio,Ohio,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,34.0,28.0,40.4,28.0 - 40.4,33.9-40.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,29.7,26.0,33.6,26.0 - 33.6,24.0-29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Oregon,Oregon,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,33.1,29.9,36.5,29.9 - 36.5,32.0-33.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,32.4,27.4,37.7,27.4 - 37.7,32.0-33.8
